,Model Name,More Info,Years,Production,Engine,Power,Torque,0-60 mph,Top Speed
104,Ferrari 360 Modena,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-360/ferrari-360-modena/,1999 - 2005,"8,800 units",3.6 L Nat Asp V8,395 bhp @ 8500 rpm,275 lb/ft @ 4750 rpm,4.3 seconds,189 mph
105,Ferrari 360 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-360/ferrari-360-spider/,2001 - 2005,"7,565 units",3.6 L Nat Asp V8,395 bhp @ 8500 rpm,275 lb/ft @ 4750 rpm,4.5 seconds,180 mph
106,Ferrari Challenge Stradale,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-360/ferrari-360-challenge-stradale/,2003 - 2004,"1,288 units",3.6 L Nat Asp V8,420 bhp @ 8500 rpm,275 lb/ft @ 4750 rpm,3.8 seconds,186 mph
107,Ferrari F430,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-ferrari-f430/,2005 - 2009,"~6,280 units",4.3 L Nat Asp V8,483 bhp @ 8500 rpm,299 lb/ft @ 5250 rpm,3.6 seconds,196 mph
108,Ferrari F430 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-spider/,2006 - 2009,"~7,720 units",4.3 L Nat Asp V8,483 bhp @ 8500 rpm,299 lb/ft @ 5250 rpm,3.6 seconds,193 mph
109,Ferrari 430 Scuderia,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-scuderia,2007 - 2010,"~2,500 units",4.3 L Nat Asp V8,503 bhp @ 8500 rpm,347 lb/ft @ 5250 rpm,3.6 seconds,198 mph
110,Ferrari Scuderia Spider 16M,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-spider-16m/,2009 - 2010,~499 units,4.3 L Nat Asp V8,503 bhp @ 8500 rpm,347 lb/ft @ 5250 rpm,3.6 seconds,198 mph
111,Ferrari 599 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-599-gtb-fiorano/,2006 - 2012,"~4,000 units",6.0 L Nat Asp V12,612 bhp @ 7600 rpm,448 lb/ft @ 5600 rpm,3.2 seconds,205 mph
112,Ferrari 599 GTO,https://www.supercars.net/blog/category/brand/ferrari/ferrari-599-gto-ferrari-599,2010 - 2012,599 units,6.0 L Nat Asp V12,661 bhp @ 8250 rpm,457 lb/ft @ 6500 rpm,3.3 seconds,208 mph
113,Ferrari SA APERTA,https://www.supercars.net/blog/category/brand/ferrari/ferrari-special-edition/ferrari-sa-aperta/,2010,80 units,6.0 L Nat Asp V12,661 bhp @ 8250 rpm,457 lb/ft @ 6500 rpm,3.6 seconds,202 mph
114,Ferrari California,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-ferrari-california/,2009 - 2012,N/A,4.3 L Nat Asp V8,453 bhp @ 7750 rpm,358 lb/ft @ 5000 rpm,4.0 seconds,193 mph
115,Ferrari California 30,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-30/,2012 - 2014,N/A,4.3 L Nat Asp V8,483 bhp @ 7750 rpm,372 lb/ft @ 5000 rpm,3.8 seconds,194 mph
116,Ferrari California T,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-t/,2015 - 2017,N/A,3.9 L twin-turbo V8,553 hp @ 7500 rpm,557 lb/ft @ 4750 rpm,3.6 seconds,196 mph
117,Ferrari 458 Italia,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-italia/,2010 - 2015,N/A,4.5 L Nat Asp V8,562 hp @ 9000 rpm,394 lb/ft @ 6000 rpm,3.3 seconds,202 mph
118,Ferrari 458 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-spider/,2011 - 2015,N/A,4.5 L Nat Asp V8,562 hp @ 9000 rpm,398 lb/ft @ 6000 rpm,3.3 seconds,202 mph
119,Ferrari 458 Speciale,https://www.supercars.net/blog/category/brand/ferrari/ferrari-458-speciale/,2013 - 2015,"~3,000 units",4.5 L Nat Asp V8,597 bhp @ 9000 rpm,398 lb/ft @ 6000 rpm,3.0 seconds,202 mph
120,Ferrari 458 Speciale A,https://www.supercars.net/blog/category/brand/ferrari/ferrari-458-speciale/,2014 - 2015,499 units,4.5 L Nat Asp V8,597 bhp @ 9000 rpm,398 lb/ft @ 6000 rpm,3.0 seconds,202 mph
121,Ferrari 458 Italia China Edition,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-italia-china-edition/,2012,20 units,4.5 L Nat Asp V8,562 hp @ 9000 rpm,398 lb/ft @ 6000 rpm,3.3 seconds,202 mph
122,Ferrari FF,https://www.supercars.net/blog/category/brand/ferrari/ferrari-ff,2011 - 2016,N/A,6.3 L Nat Asp V12,650 hp @ 8000 rpm,504 lb/ft @ 6000 rpm,3.7 seconds,208 mph
123,Ferrari GTC4Lusso,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gtc4-lusso/,2016 - 2020,N/A,6.3 L Nat Asp V12,681 bhp @ 8000 rpm,516 lb/ft @ 5750 rpm,3.4 seconds,208 mph
124,Ferrari GTC4Lusso T,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gtc4-lusso/ferrari-gtc4-lusso-t/,2017 - 2020,N/A,3.9 L twin-turbo V8,602 bhp @ 7500 rpm,561 lb/ft @ 3000 rpm,3.5 seconds,199 mph
125,Ferrari F12berlinetta,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f12/ferrari-f12berlinetta/,2012 - 2017,N/A,6.3 L Nat Asp V12,730 bhp @ 8250 rpm,509 lb/ft @ 6000 rpm,3.1 seconds,211 mph
126,Ferrari F12tdf,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f12/ferrari-f12tdf/,2015 - 2017,799 units,6.3 L Nat Asp V12,769 bhp @ 8500 rpm,520 lb/ft @ 6750 rpm,2.9 seconds,211 mph
127,Ferrari 488 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/,2015 - 2019,N/A,3.9 L twin-turbo V8,661 bhp @ 8000 rpm,561 lb/ft @ 3000 rpm,3.0 seconds,205 mph
128,Ferrari 488 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-spider/,2016 - 2019,N/A,3.9 L twin-turbo V8,661 bhp @ 8000 rpm,561 lb/ft @ 3000 rpm,3.0 seconds,202 mph
129,Ferrari 488 Pista,https://www.supercars.net/blog/2019-ferrari-488-pista-ferraris-most-powerful-v8-ever/,2018 - 2020,N/A,3.9L twin-turbo V8,710 bhp @ 8000 rpm,568 lb/ft @ 3000 rpm,2.85 seconds,211 mph
130,Ferrari 488 Pista Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-pista-spider/,2018 - 2020,N/A,3.9 L twin-turbo V8,710 bhp @ 8000 rpm,568 lb/ft @ 3000 rpm,2.85 seconds,211 mph
131,Ferrari 488 Pista Piloti,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-pista-piloti/,2020,N/A,3.9 L twin-turbo V8,710 bhp @ 8000 rpm,568 lb/ft @ 3000 rpm,2.85 seconds,211 mph
132,Ferrari Portofino,https://www.supercars.net/blog/category/brand/ferrari/ferrari-portofino/,2017 - 2020,N/A,3.9 L twin-turbo V8,591 bhp @ 7500 rpm,560 lb/ft @ 3000 rpm,3.5 seconds,199 mph
133,Ferrari 812 Superfast,https://www.supercars.net/blog/meet-ferrari-812-superfast/,"US$340,712",6.5L naturally aspirated V12,789 hp @ 8500 rpm,530 lb-ft @ 7000 rpm,2.8 s,7.9 s,211 mph
134,Ferrari 812 GTS,https://www.supercars.net/blog/ferrari-812-gts/,"US$401,000",6.5L naturally aspirated V12,789 hp @ 8900 rpm,530 lb-ft @ 7000 rpm,2.9 s,8.3 s,211 mph
135,Ferrari 250 GTO,https://www.supercars.net/blog/ferrari-250-gto-detail/,1962 - 1964,36,Tipo 168/62 V12,"302 hp @ 7,500 rpm","217 lb-ft @ 5,500 rpm",6.1 seconds,177 mph
136,Ferrari 288 GTO,https://www.supercars.net/blog/category/brand/ferrari/ferrari-288-gto,1984 - 1987,272,2.9L twin-turbo V8,"394 bhp @ 7,000 rpm","366 lb-ft @ 3,800 rpm",4.8 seconds,189 mph
137,Ferrari F40,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f40/,1987 - 1992,"1,315",2.9L twin-turbo V8,478 bhp @ 7000 rpm,"425 lb-ft @ 4,000 rpm",3.8 seconds,201 mph
138,Ferrari F50,https://www.supercars.net/blog/category/brand/ferrari/ferrari-f50/,1995 - 1997,349,4.7L Tipo F130B V12,"513 hp @ 8,500 rpm","347 lb-ft @ 6,500 rpm",3.7 seconds,202 mph
139,Ferrari Enzo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-enzo/,2002 - 2004,400,6.0L Tipo F140B V12,"660 hp @ 7,800 rpm","485 lb-ft @ 5,500 rpm",3.1 seconds,217 mph
140,Ferrari LaFerrari,https://www.supercars.net/blog/category/brand/ferrari/ferrari-laferrari/,2013-2018 (inc. Aperta),"499, 210 (Aperta)",6.3L V12 + Electric,950 bhp @ 9000rpm,664 lb-ft,2.7 seconds,217+ mph
