Model Name;More Info;Years;Cost;Production;Engine;Power;Torque;0-60 mph;Top Speed;Engine displacement;Engine configuration;Start Year;Power BHP;Top Speed [km/h];Torque [Nm];Cylinder count
"Ferrari 250 GT Berlinetta ""Interim";https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-gt-berlinetta-interim/;1959;;7 units;3,0 L Colombo V12;240 bhp @ 7000 rpm;193 lb/ft @ 5000 rpm;5.2 seconds;150mph;3;V12;1959;240;241,40;261,67;12
Ferrari 250 GT SWB Berlinetta ‘Lusso’;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-berlinetta-swb/;1960 - 1962;;176 (inc. racing);3,0 L Colombo V12;240 hp @ 7,500 rpm;215 lb/ft @ 5500 rpm;5.2 seconds;150 mph;3;V12;1960;240;241,40;291,50;12
Ferrari 250 GT Berlinetta Lusso;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-250/ferrari-250-gt-berlinetta-lusso/;1962 - 1964;;351 units;3,0 L Colombo V12;240 hp @ 7,500 rpm;215 lb/ft @ 5500 rpm;5.2 seconds;150 mph;3;V12;1962;240;241,40;291,50;12
Ferrari 250 GTO;https://www.supercars.net/blog/category/brand/ferrari/ferrari-250-gto;1962 - 1964;;36 units;3,0 L Colombo V12;302 bhp @ 7500 rpm;246 lb/ft @ 5500 rpm;5.4 seconds;174 mph;3;V12;1962;302;280,03;333,53;12
Ferrari 400 Superamerica;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-400-superamerica/;1959 - 1962;;47 units (incl II);4,0 L Colombo V12;340 bhp @ 7000 rpm;235 lb/ft @ 4500 rpm;~9.2 seconds;174 mph;4;V12;1959;340;280,03;318,62;12
Ferrari 400 Superamerica II;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-400-superamerica/;1962 - 1964;;47 units (incl I);4,0 L Colombo V12;340 bhp @ 7000 rpm;235 lb/ft @ 4500 rpm;~9.2 seconds;174 mph;4;V12;1962;340;280,03;318,62;12
Ferrari 275 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-275/ferrari-275-gtb-ferrari-275/;1964 - 1966;;442 units;3,3 L Colombo V12;280 bhp @ 7600 rpm;188 lb/ft @ 5500 rpm;6.7 seconds;145 mph;3,3;V12;1964;280;233,35;254,89;12
Ferrari 275 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-275-gts;1964 - 1966;;200 units;3,3 L Colombo V12;260 bhp @ 7000 rpm;202 lb/ft @ 5000 rpm;7.2 seconds;145 mph;3,3;V12;1964;260;233,35;273,88;12
Ferrari 330 America;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-330/ferrari-330-america/;1963 -1964;;50 units;4,0 L Colombo V12;295 bhp @ 6600 rpm;240 lb/ft @ 5000 rpm;N/A;142 mph;4;V12;1963;295;228,53;325,40;12
Ferrari 330 GT 2+2 I;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-330/ferrari-330-gt-22/;1964 - 1965;;1099 (I & II);4,0 L Colombo V12;295 bhp @ 6600 rpm;240 lb/ft @ 5000 rpm;N/A;152 mph;4;V12;1964;295;244,62;325,40;12
Ferrari 500 Superfast;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-america/ferrari-500-superfast/;1964 - 1967;;36 units;5,0 L Colombo V12;400 bhp @ 6500 rpm;N/A;N/A;174 mph;5;V12;1964;400;280,03;;12
Ferrari 275 GTB/4;https://www.supercars.net/blog/category/brand/ferrari/ferrari-275-gtb-4;1966 - 1968;;280 units;3,3 L Colombo V12;300hp @ 8,000 rpm;232 lb/ft @ 6000 rpm;5.5 seconds;165 mph;3,3;V12;1966;300;265,54;314,55;12
Ferrari 275 GTB/4S NART Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-275/ferrari-275-gts-4-nart-spyder/;1967;;10 units;3,3 L Colombo V12;300hp @ 8,000 rpm;217 lb/ft @ 6000 rpm;5.5 seconds;155 mph;3,3;V12;1967;300;249,45;294,21;12
Ferrari 330 GT 2+2 II;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-330/ferrari-330-gt-22/;1966 - 1967;;1099 (I & II);4,0 L Colombo V12;295 bhp @ 6600 rpm;240 lb/ft @ 5000 rpm;N/A;152 mph;4;V12;1966;295;244,62;325,40;12
Ferrari 330 GTC;https://www.supercars.net/blog/category/brand/ferrari/ferrari-330-gtc;1966 - 1968;;598 units;4,0 L Colombo V12;300 bhp @ 7000 rpm;240 lb/ft @ 5000 rpm;6.9 seconds;152 mph;4;V12;1966;300;244,62;325,40;12
Ferrari 330 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-330-gts/;1966 - 1968;;100 units;4,0 L Colombo V12;300 bhp @ 7000 rpm;240 lb/ft @ 5000 rpm;6.9 seconds;152 mph;4;V12;1966;300;244,62;325,40;12
Ferrari 365 California;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-365/ferrari-365-california/;1966 - 1967;;14 units;4,4 L Colombo V12;320 bhp @ 6600 rpm;253 lb/ft @ 5000 rpm;7.1 seconds;152 mph;4,4;V12;1966;320;244,62;343,02;12
Ferrari 365 GT 2+2;https://www.supercars.net/blog/category/brand/ferrari/ferrari-365-gt-22;1967 - 1971;;800 units;4,4 L Colombo V12;320 bhp @ 6600 rpm;308 lb/ft @ 5000 rpm;7.1 seconds;152 mph;4,4;V12;1967;320;244,62;417,59;12
